IC_L_7: t= 2.40, L= 101.13, L_straight= 100.50, slack=  0.63, T_bat= 1.90, T_rov= 0.50, F_drag_cable=( 0.00,  1.32), Fy_cmd=  0.00, desired= -0.36, ret= -0.68, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.50, L= 101.06, L_straight= 100.52, slack=  0.54, T_bat= 1.70, T_rov= 0.50, F_drag_cable=( 0.00,  1.32), Fy_cmd=  0.00, desired= -0.18, ret= -0.63, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.60, L= 101.00, L_straight= 100.55, slack=  0.45, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.32), Fy_cmd=  0.00, desired=  0.00, ret= -0.57, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.70, L= 100.94, L_straight= 100.57, slack=  0.37, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.33), Fy_cmd=  0.00, desired=  0.00, ret= -0.51, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.80, L= 100.89, L_straight= 100.60, slack=  0.29, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.33), Fy_cmd=  0.00, desired=  0.00, ret= -0.46, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.90, L= 100.85, L_straight= 100.62, slack=  0.22, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.33), Fy_cmd=  0.00, desired=  0.00, ret= -0.41, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.00, L= 100.80, L_straight= 100.65, slack=  0.16, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.33), Fy_cmd=  0.00, desired=  0.00, ret= -0.37, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.10, L= 100.77, L_straight= 100.67, slack=  0.09, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.33), Fy_cmd=  0.00, desired=  0.00, ret= -0.33, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.20, L= 100.73, L_straight= 100.70, slack=  0.04, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  1.33), Fy_cmd=  0.00, desired=  0.00, ret= -0.30, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.30, L= 100.70, L_straight= 100.70, slack=  0.00, T_bat= 1.87, T_rov= 0.50, F_drag_cable=( 0.00,  0.06), Fy_cmd=  0.00, desired=  0.00, ret= -0.27, exp=PILOT_ASC_HOLD_ACC
