IC_L_7: t= 0.10, L= 100.00, L_straight= 10.00, slack= 90.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -0.02), Fy_cmd=  0.00, desired= -0.10, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.10, L= 95.09, L_straight=  0.01, slack= 95.08, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.20, L= 95.08, L_straight=  0.01, slack= 95.07, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.30, L= 95.07, L_straight=  0.01, slack= 95.06, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.40, L= 95.06, L_straight=  0.01, slack= 95.05, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.50, L= 95.05, L_straight=  0.01, slack= 95.04, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.60, L= 95.04, L_straight=  0.01, slack= 95.03, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.70, L= 95.03, L_straight=  0.01, slack= 95.02, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.80, L= 95.02, L_straight=  0.01, slack= 95.01, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 50.90, L= 95.01, L_straight=  0.01, slack= 95.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.00, L= 95.00, L_straight=  0.01, slack= 94.99, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.10, L= 94.99, L_straight=  0.01, slack= 94.98, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.20, L= 94.98, L_straight=  0.01, slack= 94.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.30, L= 94.97, L_straight=  0.01, slack= 94.96, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.40, L= 94.96, L_straight=  0.01, slack= 94.95, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.50, L= 94.95, L_straight=  0.01, slack= 94.94, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.60, L= 94.94, L_straight=  0.01, slack= 94.93, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.70, L= 94.93, L_straight=  0.01, slack= 94.92, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.80, L= 94.92, L_straight=  0.01, slack= 94.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 51.90, L= 94.91, L_straight=  0.01, slack= 94.90, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.00, L= 94.90, L_straight=  0.01, slack= 94.89, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.10, L= 94.89, L_straight=  0.01, slack= 94.88, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.20, L= 94.88, L_straight=  0.01, slack= 94.87, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.30, L= 94.87, L_straight=  0.01, slack= 94.86, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.40, L= 94.86, L_straight=  0.01, slack= 94.85, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.50, L= 94.85, L_straight=  0.01, slack= 94.84, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.60, L= 94.84, L_straight=  0.01, slack= 94.83, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.70, L= 94.83, L_straight=  0.01, slack= 94.82, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.80, L= 94.82, L_straight=  0.01, slack= 94.81, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 52.90, L= 94.81, L_straight=  0.01, slack= 94.80, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.00, L= 94.80, L_straight=  0.00, slack= 94.80, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.10, L= 94.79, L_straight=  0.00, slack= 94.79, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.20, L= 94.78, L_straight=  0.00, slack= 94.78, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.30, L= 94.77, L_straight=  0.00, slack= 94.77, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.40, L= 94.76, L_straight=  0.00, slack= 94.76, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.50, L= 94.75, L_straight=  0.00, slack= 94.75, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.60, L= 94.74, L_straight=  0.00, slack= 94.74, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.70, L= 94.73, L_straight=  0.00, slack= 94.73, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.80, L= 94.72, L_straight=  0.01, slack= 94.71, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 53.90, L= 94.71, L_straight=  0.01, slack= 94.70, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.00, L= 94.70, L_straight=  0.01, slack= 94.69, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.10, L= 94.69, L_straight=  0.01, slack= 94.68, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.20, L= 94.68, L_straight=  0.01, slack= 94.67, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.30, L= 94.67, L_straight=  0.01, slack= 94.66, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.40, L= 94.66, L_straight=  0.01, slack= 94.65, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.50, L= 94.65, L_straight=  0.01, slack= 94.64, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.60, L= 94.64, L_straight=  0.01, slack= 94.63, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.70, L= 94.63, L_straight=  0.01, slack= 94.62, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.80, L= 94.62, L_straight=  0.01, slack= 94.61, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 54.90, L= 94.61, L_straight=  0.01, slack= 94.60, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.00, L= 94.60, L_straight=  0.01, slack= 94.59, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.10, L= 94.59, L_straight=  0.01, slack= 94.58, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.20, L= 94.58, L_straight=  0.01, slack= 94.57, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.30, L= 94.57, L_straight=  0.00, slack= 94.57, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.40, L= 94.56, L_straight=  0.00, slack= 94.56, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.50, L= 94.55, L_straight=  0.00, slack= 94.55, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.60, L= 94.54, L_straight=  0.00, slack= 94.54, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.70, L= 94.53, L_straight=  0.00, slack= 94.53, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.80, L= 94.52, L_straight=  0.00, slack= 94.52, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 55.90, L= 94.51, L_straight=  0.00, slack= 94.51, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.00, L= 94.50, L_straight=  0.00, slack= 94.50, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.10, L= 94.49, L_straight=  0.00, slack= 94.49, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.20, L= 94.48, L_straight=  0.00, slack= 94.48, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.30, L= 94.47, L_straight=  0.00, slack= 94.47, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.40, L= 94.46, L_straight=  0.00, slack= 94.46, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.50, L= 94.45, L_straight=  0.00, slack= 94.45, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.60, L= 94.44, L_straight=  0.00, slack= 94.44, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.70, L= 94.43, L_straight=  0.00, slack= 94.43, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.80, L= 94.42, L_straight=  0.00, slack= 94.42, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 56.90, L= 94.41, L_straight=  0.00, slack= 94.41, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.00, L= 94.40, L_straight=  0.00, slack= 94.40, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.10, L= 94.39, L_straight=  0.00, slack= 94.39, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.20, L= 94.38, L_straight=  0.00, slack= 94.38, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.30, L= 94.37, L_straight=  0.00, slack= 94.37, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.40, L= 94.36, L_straight=  0.00, slack= 94.36, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.50, L= 94.35, L_straight=  0.00, slack= 94.35, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.60, L= 94.34, L_straight=  0.00, slack= 94.34, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.70, L= 94.33, L_straight=  0.00, slack= 94.33, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.80, L= 94.32, L_straight=  0.00, slack= 94.32, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 57.90, L= 94.31, L_straight=  0.00, slack= 94.31, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.00, L= 94.30, L_straight=  0.00, slack= 94.30, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.10, L= 94.29, L_straight=  0.00, slack= 94.29, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.20, L= 94.28, L_straight=  0.00, slack= 94.28, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.30, L= 94.27, L_straight=  0.00, slack= 94.27, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.40, L= 94.26, L_straight=  0.00, slack= 94.26, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.50, L= 94.25, L_straight=  0.00, slack= 94.25, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.60, L= 94.24, L_straight=  0.00, slack= 94.24, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.70, L= 94.23, L_straight=  0.00, slack= 94.23, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.80, L= 94.22, L_straight=  0.00, slack= 94.22, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 58.90, L= 94.21, L_straight=  0.00, slack= 94.21, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.00, L= 94.20, L_straight=  0.00, slack= 94.20, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.10, L= 94.19, L_straight=  0.00, slack= 94.19, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.20, L= 94.18, L_straight=  0.00, slack= 94.18, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.30, L= 94.17, L_straight=  0.00, slack= 94.17, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.40, L= 94.16, L_straight=  0.00, slack= 94.16, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.50, L= 94.15, L_straight=  0.00, slack= 94.15, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 59.60, L= 94.14, L_straight=  0.01, slack= 94.13, T_bat= 0.50, T_rov= 0.50, F_drag_cable=(-0.00,  0.00), Fy_cmd=  0.00, desired= -0.10, ret= -0.10, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
