IC_L_7: t= 2.50, L= 101.47, L_straight= 98.31, slack=  3.16, T_bat= 62.83, T_rov= 70.00, F_drag_cable=( 0.00, -9.85), Fy_cmd=  0.00, desired=  0.34, ret=  0.64, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.60, L= 101.53, L_straight= 98.24, slack=  3.29, T_bat= 62.94, T_rov= 70.00, F_drag_cable=( 0.00, -9.86), Fy_cmd=  0.00, desired=  0.28, ret=  0.60, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.70, L= 101.59, L_straight= 98.17, slack=  3.42, T_bat= 63.05, T_rov= 70.00, F_drag_cable=( 0.00, -9.86), Fy_cmd=  0.00, desired=  0.22, ret=  0.56, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.80, L= 101.65, L_straight= 98.10, slack=  3.55, T_bat= 63.16, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired=  0.16, ret=  0.52, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 2.90, L= 101.70, L_straight= 98.03, slack=  3.67, T_bat= 63.27, T_rov= 70.00, F_drag_cable=( 0.00, -9.87), Fy_cmd=  0.00, desired=  0.10, ret=  0.48, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.00, L= 101.75, L_straight= 97.96, slack=  3.78, T_bat= 63.37, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired=  0.04, ret=  0.44, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.10, L= 101.79, L_straight= 97.89, slack=  3.90, T_bat= 63.47, T_rov= 70.00, F_drag_cable=( 0.00, -9.88), Fy_cmd=  0.00, desired= -0.02, ret=  0.39, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.20, L= 101.83, L_straight= 97.83, slack=  4.00, T_bat= 63.56, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.08, ret=  0.34, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.30, L= 101.86, L_straight= 97.76, slack=  4.11, T_bat= 63.65, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret=  0.30, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.40, L= 101.89, L_straight= 97.69, slack=  4.21, T_bat= 63.74, T_rov= 70.00, F_drag_cable=( 0.00, -9.89), Fy_cmd=  0.00, desired= -0.10, ret=  0.26, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.50, L= 101.92, L_straight= 97.62, slack=  4.30, T_bat= 63.82, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.22, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.60, L= 101.94, L_straight= 97.55, slack=  4.39, T_bat= 63.90, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.19, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.70, L= 101.96, L_straight= 97.48, slack=  4.48, T_bat= 63.98, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.16, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.80, L= 101.98, L_straight= 97.41, slack=  4.56, T_bat= 64.05, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.14, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 3.90, L= 101.99, L_straight= 97.34, slack=  4.65, T_bat= 64.12, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.11, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.00, L= 102.00, L_straight= 97.28, slack=  4.73, T_bat= 64.19, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.09, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.10, L= 102.01, L_straight= 97.21, slack=  4.80, T_bat= 64.26, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.07, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.20, L= 102.02, L_straight= 97.14, slack=  4.88, T_bat= 64.32, T_rov= 70.00, F_drag_cable=( 0.00, -9.90), Fy_cmd=  0.00, desired= -0.10, ret=  0.06, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.30, L= 102.02, L_straight= 97.07, slack=  4.95, T_bat= 64.38, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret=  0.04, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.40, L= 102.03, L_straight= 97.00, slack=  5.03, T_bat= 64.44, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret=  0.03, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
IC_L_7: t= 4.50, L= 102.03, L_straight= 96.93, slack=  5.10, T_bat= 64.50, T_rov= 70.00, F_drag_cable=( 0.00, -9.91), Fy_cmd=  0.00, desired= -0.10, ret=  0.01, exp=PILOT_ASC_REMOVE_SLACK_SLACK_CAP_ACC
