IC_L_7: t= 2.50, L= 100.00, L_straight= 99.49, slack=  0.51, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00, -1.46), Fy_cmd=  0.00, desired= -0.13, ret= -0.01, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.60, L= 100.00, L_straight= 99.46, slack=  0.54, T_bat= 0.39, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.18, ret= -0.03, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.70, L= 100.00, L_straight= 99.44, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.23, ret= -0.05, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.80, L= 99.99, L_straight= 99.41, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.27, ret= -0.07, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.90, L= 99.98, L_straight= 99.38, slack=  0.60, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.31, ret= -0.09, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.00, L= 99.97, L_straight= 99.36, slack=  0.62, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.35, ret= -0.12, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.10, L= 99.96, L_straight= 99.33, slack=  0.63, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.38, ret= -0.15, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.20, L= 99.95, L_straight= 99.30, slack=  0.65, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.40, ret= -0.17, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.30, L= 99.93, L_straight= 99.28, slack=  0.66, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.42, ret= -0.20, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.40, L= 99.91, L_straight= 99.25, slack=  0.66, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.44, ret= -0.22, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.50, L= 99.89, L_straight= 99.22, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.24, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.60, L= 99.86, L_straight= 99.19, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.26, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.70, L= 99.84, L_straight= 99.17, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.28, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.80, L= 99.81, L_straight= 99.14, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.45, ret= -0.30, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.90, L= 99.78, L_straight= 99.11, slack=  0.67, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.44, ret= -0.31, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.00, L= 99.75, L_straight= 99.09, slack=  0.66, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.43, ret= -0.33, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.10, L= 99.72, L_straight= 99.06, slack=  0.66, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.42, ret= -0.34, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.20, L= 99.68, L_straight= 99.03, slack=  0.65, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.41, ret= -0.34, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.30, L= 99.65, L_straight= 99.01, slack=  0.64, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.48), Fy_cmd=  0.00, desired= -0.40, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.40, L= 99.61, L_straight= 98.98, slack=  0.63, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.38, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.50, L= 99.58, L_straight= 98.95, slack=  0.63, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.36, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.60, L= 99.54, L_straight= 98.93, slack=  0.62, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.35, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.70, L= 99.51, L_straight= 98.90, slack=  0.61, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.33, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.80, L= 99.47, L_straight= 98.87, slack=  0.60, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.31, ret= -0.35, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.90, L= 99.44, L_straight= 98.85, slack=  0.59, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.30, ret= -0.34, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.00, L= 99.40, L_straight= 98.82, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.28, ret= -0.34, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.10, L= 99.37, L_straight= 98.79, slack=  0.58, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.27, ret= -0.33, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.20, L= 99.34, L_straight= 98.77, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.26, ret= -0.32, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.30, L= 99.31, L_straight= 98.74, slack=  0.57, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.25, ret= -0.31, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.40, L= 99.27, L_straight= 98.71, slack=  0.56, T_bat= 0.38, T_rov= 0.50, F_drag_cable=( 0.00, -1.47), Fy_cmd=  0.00, desired= -0.24, ret= -0.31, exp=PILOT_ASC_REMOVE_SLACK_ACC
