[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=7.8750814866033725 y=0.00 x=3.00 L=12.00
IC_L_7: t= 2.40, L= 11.85, L_straight=  2.84, slack=  9.01, T_bat= 111.01, T_rov= 110.84, F_drag_cable=(-0.45,  0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.09, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 2.50, L= 11.84, L_straight=  2.91, slack=  8.93, T_bat= 106.06, T_rov= 105.56, F_drag_cable=(-1.25,  0.08), Fy_cmd= -5.00, desired= -0.10, ret= -0.09, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 2.60, L= 11.83, L_straight=  3.01, slack=  8.83, T_bat= 113.87, T_rov= 112.98, F_drag_cable=(-2.20,  0.21), Fy_cmd= -5.00, desired= -0.10, ret= -0.09, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 2.70, L= 11.82, L_straight=  3.05, slack=  8.78, T_bat= 119.20, T_rov= 118.70, F_drag_cable=(-0.38,  0.41), Fy_cmd= -5.00, desired= -0.10, ret= -0.09, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 2.80, L= 11.81, L_straight=  3.05, slack=  8.77, T_bat= 123.41, T_rov= 123.16, F_drag_cable=( 0.00,  0.42), Fy_cmd= -5.00, desired= -0.10, ret= -0.09, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 2.90, L= 11.81, L_straight=  3.01, slack=  8.80, T_bat= 126.60, T_rov= 126.60, F_drag_cable=( 0.37,  0.15), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.00, L= 11.80, L_straight=  2.94, slack=  8.85, T_bat= 129.43, T_rov= 129.81, F_drag_cable=( 0.99, -0.00), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.10, L= 11.79, L_straight=  2.86, slack=  8.92, T_bat= 131.11, T_rov= 131.84, F_drag_cable=( 1.58, -0.23), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.20, L= 11.78, L_straight=  2.77, slack=  9.01, T_bat= 132.10, T_rov= 133.15, F_drag_cable=( 2.07, -0.74), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.30, L= 11.77, L_straight=  2.65, slack=  9.11, T_bat= 132.54, T_rov= 134.17, F_drag_cable=( 3.20, -0.43), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.40, L= 11.76, L_straight=  2.56, slack=  9.20, T_bat= 133.09, T_rov= 134.58, F_drag_cable=( 2.25,  0.04), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
IC_L_7: t= 3.50, L= 11.75, L_straight=  2.50, slack=  9.25, T_bat= 133.44, T_rov= 134.49, F_drag_cable=( 0.94,  0.86), Fy_cmd= -5.00, desired= -0.10, ret= -0.10, exp=PILOT_DESC_SLACK_CAP_ACC
