[SCEN] t=0.00 scen=Fy crit=(t<5:-5) T_bat=0.008337781180859672 y=-400.00 x=30.00 L=403.00
IC_L_7: t= 2.80, L= 404.60, L_straight= 401.86, slack=  2.74, T_bat= 1.25, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.99, ret=  0.92, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 2.90, L= 404.69, L_straight= 401.90, slack=  2.80, T_bat= 17.30, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.98, ret=  0.93, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.00, L= 404.79, L_straight= 401.93, slack=  2.86, T_bat= 1.36, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.97, ret=  0.93, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.10, L= 404.88, L_straight= 401.96, slack=  2.92, T_bat= 17.21, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.96, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.20, L= 404.97, L_straight= 401.99, slack=  2.98, T_bat= 1.47, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.96, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.30, L= 405.07, L_straight= 402.02, slack=  3.04, T_bat= 17.11, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.95, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.40, L= 405.16, L_straight= 402.06, slack=  3.11, T_bat= 1.58, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.94, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.50, L= 405.25, L_straight= 402.09, slack=  3.17, T_bat= 17.02, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.93, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.60, L= 405.35, L_straight= 402.12, slack=  3.23, T_bat= 1.68, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.92, ret=  0.94, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.70, L= 405.44, L_straight= 402.15, slack=  3.29, T_bat= 16.92, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.91, ret=  0.93, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.80, L= 405.54, L_straight= 402.18, slack=  3.35, T_bat= 1.79, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.90, ret=  0.93, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 3.90, L= 405.63, L_straight= 402.21, slack=  3.41, T_bat= 16.82, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.89, ret=  0.93, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.00, L= 405.72, L_straight= 402.25, slack=  3.47, T_bat= 1.89, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.88, ret=  0.92, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.10, L= 405.81, L_straight= 402.28, slack=  3.53, T_bat= 16.72, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.87, ret=  0.92, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.20, L= 405.90, L_straight= 402.31, slack=  3.59, T_bat= 2.00, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.86, ret=  0.91, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.30, L= 406.00, L_straight= 402.34, slack=  3.65, T_bat= 16.63, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.86, ret=  0.91, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.40, L= 406.09, L_straight= 402.37, slack=  3.71, T_bat= 2.10, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.85, ret=  0.90, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.50, L= 406.18, L_straight= 402.41, slack=  3.77, T_bat= 16.53, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.84, ret=  0.89, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.60, L= 406.27, L_straight= 402.44, slack=  3.83, T_bat= 2.21, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.83, ret=  0.89, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.70, L= 406.35, L_straight= 402.47, slack=  3.88, T_bat= 16.43, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.82, ret=  0.88, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.80, L= 406.44, L_straight= 402.50, slack=  3.94, T_bat= 2.31, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.81, ret=  0.87, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 4.90, L= 406.53, L_straight= 402.53, slack=  4.00, T_bat= 16.33, T_rov= 0.74, Fy_cmd= -5.00, desired=  0.80, ret=  0.87, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.00, L= 406.62, L_straight= 402.57, slack=  4.05, T_bat= 2.42, T_rov= 0.26, Fy_cmd= -5.00, desired=  0.80, ret=  0.86, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.10, L= 406.70, L_straight= 402.60, slack=  4.10, T_bat= 5.87, T_rov= 0.38, Fy_cmd= -5.00, desired=  0.79, ret=  0.85, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.20, L= 406.79, L_straight= 402.63, slack=  4.16, T_bat= 7.63, T_rov= 0.44, Fy_cmd= -5.00, desired=  0.78, ret=  0.85, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.30, L= 406.87, L_straight= 402.66, slack=  4.21, T_bat= 8.51, T_rov= 0.47, Fy_cmd= -5.00, desired=  0.77, ret=  0.84, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.40, L= 406.96, L_straight= 402.69, slack=  4.26, T_bat= 8.96, T_rov= 0.48, Fy_cmd= -5.00, desired=  0.76, ret=  0.83, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 5.50, L= 407.04, L_straight= 402.73, slack=  4.31, T_bat= 9.18, T_rov= 0.49, Fy_cmd= -5.00, desired=  0.76, ret=  0.82, exp=PILOT_DESC_ADD_SLACK_ACC
