IC_L_7: t= 1.40, L= 453.00, L_straight= 451.21, slack=  1.79, T_bat= 4.33, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.50, L= 453.00, L_straight= 451.24, slack=  1.76, T_bat= 4.53, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.60, L= 453.00, L_straight= 451.26, slack=  1.74, T_bat= 4.69, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.70, L= 453.00, L_straight= 451.29, slack=  1.71, T_bat= 4.82, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.80, L= 453.00, L_straight= 451.31, slack=  1.69, T_bat= 4.93, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 1.90, L= 453.00, L_straight= 451.34, slack=  1.66, T_bat= 5.02, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.00, L= 453.00, L_straight= 451.36, slack=  1.64, T_bat= 5.09, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.10, L= 453.00, L_straight= 451.39, slack=  1.61, T_bat= 5.14, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.20, L= 453.00, L_straight= 451.41, slack=  1.59, T_bat= 5.19, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.30, L= 453.00, L_straight= 451.44, slack=  1.56, T_bat= 5.23, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.40, L= 453.00, L_straight= 451.46, slack=  1.54, T_bat= 5.26, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.50, L= 453.00, L_straight= 451.49, slack=  1.51, T_bat= 5.28, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.60, L= 453.00, L_straight= 451.51, slack=  1.49, T_bat= 5.30, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.70, L= 453.00, L_straight= 451.54, slack=  1.46, T_bat= 5.32, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.80, L= 453.00, L_straight= 451.57, slack=  1.43, T_bat= 5.33, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 2.90, L= 453.00, L_straight= 451.59, slack=  1.41, T_bat= 5.34, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.00, L= 453.00, L_straight= 451.62, slack=  1.38, T_bat= 5.35, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.10, L= 453.00, L_straight= 451.64, slack=  1.36, T_bat= 5.36, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.20, L= 453.00, L_straight= 451.67, slack=  1.33, T_bat= 5.36, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.30, L= 453.00, L_straight= 451.70, slack=  1.30, T_bat= 5.37, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.40, L= 453.00, L_straight= 451.72, slack=  1.28, T_bat= 5.37, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.50, L= 453.00, L_straight= 451.75, slack=  1.25, T_bat= 5.38, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.60, L= 453.00, L_straight= 451.77, slack=  1.23, T_bat= 5.38, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.70, L= 453.00, L_straight= 451.80, slack=  1.20, T_bat= 5.38, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.80, L= 453.00, L_straight= 451.82, slack=  1.18, T_bat= 5.38, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.90, L= 453.00, L_straight= 451.85, slack=  1.15, T_bat= 5.38, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.00, L= 453.00, L_straight= 451.88, slack=  1.12, T_bat= 5.39, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.10, L= 453.00, L_straight= 451.90, slack=  1.10, T_bat= 5.39, Fy_cmd=  0.00, desired=  0.00, ret=  0.00, exp=PILOT_ASC_HOLD_ACC
