IC_L_7: t= 2.80, L= 451.40, L_straight= 401.67, slack= 49.73, T_bat= 6.70, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.92, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 2.90, L= 451.31, L_straight= 401.69, slack= 49.62, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.93, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.00, L= 451.21, L_straight= 401.72, slack= 49.50, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.94, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.10, L= 451.12, L_straight= 401.74, slack= 49.38, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.95, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.20, L= 451.03, L_straight= 401.77, slack= 49.26, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.95, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.30, L= 450.93, L_straight= 401.79, slack= 49.14, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.96, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.40, L= 450.84, L_straight= 401.82, slack= 49.02, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.96, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.50, L= 450.74, L_straight= 401.84, slack= 48.90, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.96, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.60, L= 450.64, L_straight= 401.87, slack= 48.77, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.97, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.70, L= 450.55, L_straight= 401.89, slack= 48.65, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.97, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.80, L= 450.45, L_straight= 401.92, slack= 48.53, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.97, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 3.90, L= 450.35, L_straight= 401.94, slack= 48.41, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.98, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.00, L= 450.25, L_straight= 401.97, slack= 48.28, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.98, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.10, L= 450.16, L_straight= 402.00, slack= 48.16, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.98, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.20, L= 450.06, L_straight= 402.02, slack= 48.04, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.98, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.30, L= 449.96, L_straight= 402.05, slack= 47.91, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.98, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.40, L= 449.86, L_straight= 402.07, slack= 47.79, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.50, L= 449.76, L_straight= 402.10, slack= 47.67, T_bat= 6.73, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.60, L= 449.66, L_straight= 402.12, slack= 47.54, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.70, L= 449.56, L_straight= 402.15, slack= 47.42, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.80, L= 449.47, L_straight= 402.17, slack= 47.29, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 4.90, L= 449.37, L_straight= 402.20, slack= 47.17, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.00, L= 449.27, L_straight= 402.22, slack= 47.05, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.10, L= 449.17, L_straight= 402.25, slack= 46.92, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.20, L= 449.07, L_straight= 402.27, slack= 46.80, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.30, L= 448.97, L_straight= 402.30, slack= 46.67, T_bat= 6.72, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -0.99, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.40, L= 448.87, L_straight= 402.32, slack= 46.55, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.50, L= 448.77, L_straight= 402.35, slack= 46.42, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.60, L= 448.67, L_straight= 402.37, slack= 46.30, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.70, L= 448.57, L_straight= 402.40, slack= 46.17, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.80, L= 448.47, L_straight= 402.42, slack= 46.05, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
IC_L_7: t= 5.90, L= 448.37, L_straight= 402.45, slack= 45.92, T_bat= 6.71, T_rov= 0.50, Fy_cmd=  0.00, desired= -1.00, ret= -1.00, exp=PILOT_ASC_REMOVE_SLACK_ACC
