[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.04491421975737344 y=-10.00 x=2.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.04491421975737344 y=-10.00 x=2.00 L=12.00
IC_L_7: t= 3.70, L= 12.48, L_straight= 11.45, slack=  1.03, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.19, exp=PILOT_DESC_ACC
IC_L_7: t= 3.80, L= 12.50, L_straight= 11.49, slack=  1.01, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.19, exp=PILOT_DESC_ACC
IC_L_7: t= 3.90, L= 12.51, L_straight= 11.53, slack=  0.98, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.00, L= 12.53, L_straight= 11.57, slack=  0.96, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.10, L= 12.55, L_straight= 11.61, slack=  0.94, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.20, L= 12.57, L_straight= 11.65, slack=  0.92, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.30, L= 12.59, L_straight= 11.70, slack=  0.90, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.40, L= 12.61, L_straight= 11.74, slack=  0.87, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.50, L= 12.63, L_straight= 11.78, slack=  0.85, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.60, L= 12.65, L_straight= 11.82, slack=  0.83, T_bat= 0.43, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.70, L= 12.67, L_straight= 11.86, slack=  0.81, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.80, L= 12.69, L_straight= 11.90, slack=  0.79, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.90, L= 12.71, L_straight= 11.95, slack=  0.76, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.00, L= 12.73, L_straight= 11.99, slack=  0.74, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.10, L= 12.75, L_straight= 12.03, slack=  0.72, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.20, L= 12.77, L_straight= 12.07, slack=  0.70, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.30, L= 12.79, L_straight= 12.11, slack=  0.68, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.40, L= 12.81, L_straight= 12.16, slack=  0.65, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.50, L= 12.83, L_straight= 12.20, slack=  0.63, T_bat= 0.44, Fy_cmd= -5.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
