t: 0.00, HISTORY < 2  -> retourne 0.00
[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.017059615106891583 p=-10.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.017059615106891583 p=-10.00 L=12.00
MAIN: t=3.10, L= 12.50, est_dT_dL=   0.07, y_rov=-10.84, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -174.53, ret2=-35.71, ret= -1.00
MAIN: t=3.20, L= 12.40, est_dT_dL=   0.06, y_rov=-10.87, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -196.85, ret2=-40.17, ret= -1.00
MAIN: t=3.30, L= 12.30, est_dT_dL=   0.06, y_rov=-10.91, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -223.75, ret2=-45.55, ret= -1.00
MAIN: t=3.40, L= 12.20, est_dT_dL=   0.05, y_rov=-10.94, vy_rov= -0.33, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1= -251.38, ret2=-51.08, ret= -1.00
0-: t: 3.50, delta_L: 0.00, -> retourne 0.19
MAIN: t=3.60, L= 12.12, est_dT_dL=  -0.03, y_rov=-11.00, vy_rov= -0.33, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  455.29, ret2= 91.21, ret=  1.00
MAIN: t=3.70, L= 12.22, est_dT_dL=  -0.01, y_rov=-11.04, vy_rov= -0.33, Vy_lim= -0.14, T= 0.10, Tcible= 25.00, ret1=  883.92, ret2= 177.58, ret=  1.00
MAIN: t=3.80, L= 12.32, est_dT_dL=  -0.01, y_rov=-11.07, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= 1602.28, ret2= 321.26, ret=  1.00
MAIN: t=3.90, L= 12.42, est_dT_dL=  -0.00, y_rov=-11.10, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= 4085.10, ret2= 817.82, ret=  1.00
MAIN: t=4.00, L= 12.52, est_dT_dL=   0.00, y_rov=-11.13, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1=-13720.22, ret2=-2743.24, ret= -1.00
MAIN: t=4.10, L= 12.42, est_dT_dL=   0.00, y_rov=-11.17, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1=-4665.22, ret2=-933.84, ret= -1.00
MAIN: t=4.20, L= 12.32, est_dT_dL=   0.00, y_rov=-11.20, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1=-5979.22, ret2=-1196.64, ret= -1.00
MAIN: t=4.30, L= 12.22, est_dT_dL=  -0.00, y_rov=-11.23, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= 15442.60, ret2= 3087.72, ret=  1.00
MAIN: t=4.40, L= 12.32, est_dT_dL=   0.02, y_rov=-11.26, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -738.39, ret2=-146.88, ret= -1.00
MAIN: t=4.50, L= 12.22, est_dT_dL=   0.03, y_rov=-11.30, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -429.94, ret2=-86.79, ret= -1.00
0-: t: 4.60, delta_L: -0.00, -> retourne 0.19
MAIN: t=4.70, L= 12.13, est_dT_dL=  -0.03, y_rov=-11.36, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1=  377.88, ret2= 75.73, ret=  1.00
MAIN: t=4.80, L= 12.23, est_dT_dL=  -0.02, y_rov=-11.40, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1=  556.75, ret2= 112.15, ret=  1.00
MAIN: t=4.90, L= 12.33, est_dT_dL=  -0.01, y_rov=-11.43, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1=  900.82, ret2= 180.96, ret=  1.00
MAIN: t=5.00, L= 12.43, est_dT_dL=  -0.01, y_rov=-11.46, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= 1675.86, ret2= 335.97, ret=  1.00
MAIN: t=5.10, L= 12.53, est_dT_dL=   0.02, y_rov=-11.49, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -684.67, ret2=-136.13, ret= -1.00
MAIN: t=5.20, L= 12.43, est_dT_dL=   0.03, y_rov=-11.53, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -393.83, ret2=-79.57, ret= -1.00
MAIN: t=5.30, L= 12.33, est_dT_dL=   0.05, y_rov=-11.56, vy_rov= -0.33, Vy_lim= -0.14, T= 0.11, Tcible= 25.00, ret1= -273.11, ret2=-55.42, ret= -1.00
MAIN: t=5.40, L= 12.23, est_dT_dL=  -0.12, y_rov=-11.59, vy_rov= -0.33, Vy_lim= -0.14, T= 0.12, Tcible= 25.00, ret1=  106.43, ret2= 20.49, ret=  1.00
MAIN: t=5.50, L= 12.33, est_dT_dL=   0.09, y_rov=-11.62, vy_rov= -0.33, Vy_lim= -0.14, T= 0.12, Tcible= 25.00, ret1= -132.36, ret2=-25.67, ret= -1.00
MAIN: t=5.60, L= 12.23, est_dT_dL=   8.81, y_rov=-11.65, vy_rov= -0.25, Vy_lim= -0.14, T= 1.15, Tcible= 25.00, ret1=   -1.14, ret2= -1.03, ret= -1.00
0-: t: 5.70, delta_L: -0.00, -> retourne 0.19
MAIN: t=5.80, L= 12.15, est_dT_dL=-120.94, y_rov=-11.56, vy_rov= -0.10, Vy_lim= -0.14, T= 9.91, Tcible= 25.00, ret1=    0.19, ret2=  0.19, ret=  0.19
MAIN: t=5.90, L= 12.17, est_dT_dL= -61.31, y_rov=-11.57, vy_rov= -0.10, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1=    0.23, ret2=  0.20, ret=  0.20
MAIN: t=6.00, L= 12.19, est_dT_dL= -41.05, y_rov=-11.58, vy_rov= -0.11, Vy_lim= -0.14, T= 10.06, Tcible= 25.00, ret1=    0.26, ret2=  0.21, ret=  0.21
MAIN: t=6.10, L= 12.21, est_dT_dL= -30.95, y_rov=-11.59, vy_rov= -0.12, Vy_lim= -0.14, T= 10.06, Tcible= 25.00, ret1=    0.30, ret2=  0.23, ret=  0.23
MAIN: t=6.20, L= 12.24, est_dT_dL= -50.08, y_rov=-11.60, vy_rov= -0.14, Vy_lim= -0.14, T= 10.05, Tcible= 25.00, ret1=    0.24, ret2=  0.23, ret=  0.23
MAIN: t=6.30, L= 12.26, est_dT_dL=-131.71, y_rov=-11.62, vy_rov= -0.14, Vy_lim= -0.14, T= 10.05, Tcible= 25.00, ret1=    0.19, ret2=  0.22, ret=  0.22
MAIN: t=6.40, L= 12.28, est_dT_dL= 212.55, y_rov=-11.63, vy_rov= -0.13, Vy_lim= -0.14, T= 10.05, Tcible= 25.00, ret1=    0.13, ret2=  0.20, ret=  0.20
MAIN: t=6.50, L= 12.30, est_dT_dL=-302.31, y_rov=-11.64, vy_rov= -0.12, Vy_lim= -0.14, T= 10.05, Tcible= 25.00, ret1=    0.17, ret2=  0.20, ret=  0.20
MAIN: t=6.60, L= 12.32, est_dT_dL= 102.39, y_rov=-11.66, vy_rov= -0.11, Vy_lim= -0.14, T= 10.05, Tcible= 25.00, ret1=    0.11, ret2=  0.18, ret=  0.18
MAIN: t=6.70, L= 12.34, est_dT_dL=   5.75, y_rov=-11.67, vy_rov= -0.09, Vy_lim= -0.14, T= 10.05, Tcible= 25.00, ret1=   -0.62, ret2=  0.02, ret=  0.02
MAIN: t=6.80, L= 12.34, est_dT_dL=   0.73, y_rov=-11.66, vy_rov=  0.06, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1=   -5.93, ret2= -1.17, ret= -1.00
MAIN: t=6.90, L= 12.24, est_dT_dL=   0.02, y_rov=-11.56, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1= -274.19, ret2=-55.64, ret= -1.00
MAIN: t=7.00, L= 12.14, est_dT_dL=   0.29, y_rov=-11.46, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1=  -15.13, ret2= -3.83, ret= -1.00
MAIN: t=7.10, L= 12.04, est_dT_dL=   0.09, y_rov=-11.35, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1=  -49.79, ret2=-10.76, ret= -1.00
MAIN: t=7.20, L= 11.94, est_dT_dL=   0.05, y_rov=-11.25, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1=  -91.83, ret2=-19.17, ret= -1.00
MAIN: t=7.30, L= 11.84, est_dT_dL=   0.03, y_rov=-11.15, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1= -138.80, ret2=-28.56, ret= -1.00
MAIN: t=7.40, L= 11.74, est_dT_dL=   0.02, y_rov=-11.05, vy_rov=  1.02, Vy_lim= -0.14, T= 10.04, Tcible= 25.00, ret1= -187.44, ret2=-38.29, ret= -1.00
