[SCEN] t=0.10 scen=Fx crit=(t>0:10) T_bat=0.04491421974583886 p=-10.00 L=12.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-5) T_bat=0.04491421974583886 p=-10.00 L=12.00
IC_L_7: t= 0.10, L= 12.00, L_straight= 10.20, slack=  1.80, T_bat= 0.04, Fy=-0.00, desired=  0.00, ret=  0.00, exp=CATENARY_HOLD_ACC
IC_L_7: t= 4.70, L= 12.72, L_straight= 11.86, slack=  0.86, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.80, L= 12.74, L_straight= 11.90, slack=  0.84, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.90, L= 12.76, L_straight= 11.95, slack=  0.81, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.00, L= 12.78, L_straight= 11.99, slack=  0.79, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.10, L= 12.80, L_straight= 12.03, slack=  0.77, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.20, L= 12.82, L_straight= 12.07, slack=  0.75, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.30, L= 12.84, L_straight= 12.11, slack=  0.73, T_bat= 0.44, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.40, L= 12.86, L_straight= 12.16, slack=  0.70, T_bat= 0.44, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.50, L= 12.88, L_straight= 12.20, slack=  0.68, T_bat= 0.44, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.60, L= 12.90, L_straight= 12.24, slack=  0.66, T_bat= 0.44, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.70, L= 12.92, L_straight= 12.28, slack=  0.64, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.80, L= 12.94, L_straight= 12.33, slack=  0.61, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 5.90, L= 12.96, L_straight= 12.37, slack=  0.59, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.00, L= 12.98, L_straight= 12.41, slack=  0.57, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.10, L= 13.00, L_straight= 12.45, slack=  0.55, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.20, L= 13.02, L_straight= 12.50, slack=  0.52, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.30, L= 13.04, L_straight= 12.54, slack=  0.50, T_bat= 0.45, Fy= 0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 6.40, L= 13.06, L_straight= 12.58, slack=  0.48, T_bat= 0.45, Fy= 0.00, desired=  0.25, ret=  0.20, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.50, L= 13.08, L_straight= 12.62, slack=  0.46, T_bat= 0.45, Fy= 0.00, desired=  0.30, ret=  0.21, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.60, L= 13.10, L_straight= 12.67, slack=  0.44, T_bat= 0.45, Fy= 0.00, desired=  0.36, ret=  0.23, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.70, L= 13.13, L_straight= 12.71, slack=  0.42, T_bat= 0.45, Fy= 0.00, desired=  0.40, ret=  0.25, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.80, L= 13.15, L_straight= 12.75, slack=  0.40, T_bat= 0.46, Fy= 0.00, desired=  0.45, ret=  0.27, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 6.90, L= 13.18, L_straight= 12.80, slack=  0.38, T_bat= 0.46, Fy= 0.00, desired=  0.49, ret=  0.29, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.00, L= 13.21, L_straight= 12.84, slack=  0.37, T_bat= 0.46, Fy= 0.00, desired=  0.52, ret=  0.31, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.10, L= 13.24, L_straight= 12.88, slack=  0.35, T_bat= 0.46, Fy= 0.00, desired=  0.55, ret=  0.34, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.20, L= 13.27, L_straight= 12.92, slack=  0.35, T_bat= 0.46, Fy= 0.00, desired=  0.57, ret=  0.36, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.30, L= 13.31, L_straight= 12.97, slack=  0.34, T_bat= 0.46, Fy= 0.00, desired=  0.59, ret=  0.38, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.40, L= 13.34, L_straight= 13.01, slack=  0.33, T_bat= 0.46, Fy= 0.00, desired=  0.60, ret=  0.40, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.50, L= 13.38, L_straight= 13.05, slack=  0.33, T_bat= 0.46, Fy= 0.00, desired=  0.61, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.60, L= 13.43, L_straight= 13.10, slack=  0.33, T_bat= 0.47, Fy= 0.01, desired=  0.61, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.70, L= 13.47, L_straight= 13.14, slack=  0.33, T_bat= 0.47, Fy= 0.01, desired=  0.61, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.80, L= 13.52, L_straight= 13.18, slack=  0.33, T_bat= 0.47, Fy= 0.01, desired=  0.60, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 7.90, L= 13.56, L_straight= 13.23, slack=  0.34, T_bat= 0.47, Fy= 0.01, desired=  0.59, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.00, L= 13.61, L_straight= 13.27, slack=  0.34, T_bat= 0.47, Fy= 0.01, desired=  0.58, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.10, L= 13.66, L_straight= 13.31, slack=  0.35, T_bat= 0.47, Fy= 0.01, desired=  0.56, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.20, L= 13.71, L_straight= 13.36, slack=  0.35, T_bat= 0.48, Fy= 0.01, desired=  0.55, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.30, L= 13.76, L_straight= 13.40, slack=  0.36, T_bat= 0.48, Fy= 0.01, desired=  0.53, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.40, L= 13.81, L_straight= 13.44, slack=  0.37, T_bat= 0.48, Fy= 0.00, desired=  0.51, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.50, L= 13.86, L_straight= 13.49, slack=  0.38, T_bat= 0.48, Fy= 0.00, desired=  0.50, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.60, L= 13.92, L_straight= 13.53, slack=  0.38, T_bat= 0.48, Fy= 0.00, desired=  0.48, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.70, L= 13.97, L_straight= 13.57, slack=  0.39, T_bat= 0.49, Fy= 0.00, desired=  0.46, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.80, L= 14.02, L_straight= 13.62, slack=  0.40, T_bat= 0.49, Fy= 0.00, desired=  0.45, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 8.90, L= 14.07, L_straight= 13.66, slack=  0.40, T_bat= 0.49, Fy= 0.00, desired=  0.43, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.00, L= 14.11, L_straight= 13.71, slack=  0.41, T_bat= 0.49, Fy= 0.00, desired=  0.42, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.10, L= 14.16, L_straight= 13.75, slack=  0.41, T_bat= 0.49, Fy= 0.00, desired=  0.41, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.20, L= 14.21, L_straight= 13.79, slack=  0.42, T_bat= 0.49, Fy= 0.00, desired=  0.40, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.30, L= 14.26, L_straight= 13.84, slack=  0.42, T_bat= 0.50, Fy= 0.00, desired=  0.39, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.40, L= 14.30, L_straight= 13.88, slack=  0.42, T_bat= 0.50, Fy= 0.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.50, L= 14.35, L_straight= 13.93, slack=  0.42, T_bat= 0.50, Fy= 0.00, desired=  0.39, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.60, L= 14.39, L_straight= 13.97, slack=  0.42, T_bat= 0.50, Fy= 0.00, desired=  0.38, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.70, L= 14.44, L_straight= 14.01, slack=  0.42, T_bat= 0.50, Fy= 0.00, desired=  0.38, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.80, L= 14.48, L_straight= 14.06, slack=  0.42, T_bat= 0.50, Fy= 0.00, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 9.90, L= 14.52, L_straight= 14.10, slack=  0.42, T_bat= 0.51, Fy= 0.01, desired=  0.39, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.00, L= 14.57, L_straight= 14.15, slack=  0.42, T_bat= 0.51, Fy= 0.01, desired=  0.39, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
[SCEN] t=10.10 scen=Fy crit=(t>10:-10) T_bat=0.5084253785505106 p=-13.13 L=14.61
IC_L_7: t= 10.10, L= 14.61, L_straight= 14.19, slack=  0.42, T_bat= 0.51, Fy= 0.01, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.20, L= 14.65, L_straight= 14.23, slack=  0.42, T_bat= 0.52, Fy= 0.01, desired=  0.40, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.30, L= 14.69, L_straight= 14.28, slack=  0.41, T_bat= 0.54, Fy= 0.01, desired=  0.41, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.40, L= 14.73, L_straight= 14.33, slack=  0.41, T_bat= 0.55, Fy= 0.01, desired=  0.43, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.50, L= 14.77, L_straight= 14.37, slack=  0.40, T_bat= 0.56, Fy= 0.01, desired=  0.44, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.60, L= 14.82, L_straight= 14.42, slack=  0.39, T_bat= 0.57, Fy= 0.01, desired=  0.45, ret=  0.42, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.70, L= 14.86, L_straight= 14.47, slack=  0.39, T_bat= 0.58, Fy= 0.01, desired=  0.47, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.80, L= 14.90, L_straight= 14.52, slack=  0.38, T_bat= 0.58, Fy= 0.01, desired=  0.48, ret=  0.43, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 10.90, L= 14.95, L_straight= 14.57, slack=  0.38, T_bat= 0.59, Fy= 0.01, desired=  0.50, ret=  0.44, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.00, L= 14.99, L_straight= 14.62, slack=  0.37, T_bat= 0.59, Fy= 0.01, desired=  0.51, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.10, L= 15.03, L_straight= 14.67, slack=  0.37, T_bat= 0.60, Fy= 0.01, desired=  0.52, ret=  0.45, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.20, L= 15.08, L_straight= 14.72, slack=  0.36, T_bat= 0.60, Fy= 0.01, desired=  0.53, ret=  0.46, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.30, L= 15.13, L_straight= 14.77, slack=  0.36, T_bat= 0.60, Fy= 0.01, desired=  0.54, ret=  0.47, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.40, L= 15.17, L_straight= 14.82, slack=  0.36, T_bat= 0.60, Fy= 0.01, desired=  0.54, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.50, L= 15.22, L_straight= 14.86, slack=  0.36, T_bat= 0.61, Fy= 0.01, desired=  0.55, ret=  0.48, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.60, L= 15.27, L_straight= 14.91, slack=  0.35, T_bat= 0.61, Fy= 0.01, desired=  0.55, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.70, L= 15.32, L_straight= 14.96, slack=  0.35, T_bat= 0.61, Fy= 0.01, desired=  0.55, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.80, L= 15.37, L_straight= 15.01, slack=  0.35, T_bat= 0.61, Fy= 0.01, desired=  0.55, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 11.90, L= 15.42, L_straight= 15.06, slack=  0.35, T_bat= 0.62, Fy= 0.01, desired=  0.55, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.00, L= 15.47, L_straight= 15.11, slack=  0.36, T_bat= 0.62, Fy= 0.01, desired=  0.55, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.10, L= 15.52, L_straight= 15.16, slack=  0.36, T_bat= 0.62, Fy= 0.01, desired=  0.54, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.20, L= 15.57, L_straight= 15.21, slack=  0.36, T_bat= 0.62, Fy= 0.01, desired=  0.54, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.30, L= 15.62, L_straight= 15.26, slack=  0.36, T_bat= 0.62, Fy= 0.01, desired=  0.53, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.40, L= 15.67, L_straight= 15.31, slack=  0.36, T_bat= 0.63, Fy= 0.01, desired=  0.53, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.50, L= 15.73, L_straight= 15.36, slack=  0.36, T_bat= 0.63, Fy= 0.01, desired=  0.52, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.60, L= 15.78, L_straight= 15.41, slack=  0.37, T_bat= 0.63, Fy= 0.01, desired=  0.52, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.70, L= 15.83, L_straight= 15.46, slack=  0.37, T_bat= 0.63, Fy= 0.01, desired=  0.51, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.80, L= 15.88, L_straight= 15.51, slack=  0.37, T_bat= 0.63, Fy= 0.01, desired=  0.51, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 12.90, L= 15.93, L_straight= 15.56, slack=  0.37, T_bat= 0.64, Fy= 0.01, desired=  0.50, ret=  0.52, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.00, L= 15.99, L_straight= 15.61, slack=  0.38, T_bat= 0.64, Fy= 0.01, desired=  0.50, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.10, L= 16.04, L_straight= 15.66, slack=  0.38, T_bat= 0.64, Fy= 0.01, desired=  0.50, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.20, L= 16.09, L_straight= 15.71, slack=  0.38, T_bat= 0.64, Fy= 0.01, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.30, L= 16.14, L_straight= 15.76, slack=  0.38, T_bat= 0.65, Fy= 0.01, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.40, L= 16.19, L_straight= 15.81, slack=  0.38, T_bat= 0.65, Fy= 0.01, desired=  0.49, ret=  0.51, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.50, L= 16.24, L_straight= 15.86, slack=  0.38, T_bat= 0.65, Fy= 0.01, desired=  0.49, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.60, L= 16.29, L_straight= 15.91, slack=  0.38, T_bat= 0.65, Fy= 0.01, desired=  0.48, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.70, L= 16.34, L_straight= 15.96, slack=  0.38, T_bat= 0.65, Fy= 0.01, desired=  0.48, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.80, L= 16.39, L_straight= 16.01, slack=  0.38, T_bat= 0.66, Fy= 0.01, desired=  0.48, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 13.90, L= 16.44, L_straight= 16.06, slack=  0.38, T_bat= 0.66, Fy= 0.01, desired=  0.48, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.00, L= 16.49, L_straight= 16.11, slack=  0.38, T_bat= 0.66, Fy= 0.01, desired=  0.48, ret=  0.50, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.10, L= 16.54, L_straight= 16.16, slack=  0.38, T_bat= 0.66, Fy= 0.01, desired=  0.49, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.20, L= 16.59, L_straight= 16.21, slack=  0.38, T_bat= 0.66, Fy= 0.01, desired=  0.49, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
IC_L_7: t= 14.30, L= 16.64, L_straight= 16.26, slack=  0.38, T_bat= 0.67, Fy= 0.01, desired=  0.49, ret=  0.49, exp=PILOT_DESC_ADD_SLACK_ACC
