[SCEN] t=0.00 scen=Fy crit=(:-10) T_bat=0.5 y=-500.00 x=0.00 L=10.00
IC_L_7: t= 2.50, L= 10.80, L_straight= 10.06, slack=  0.74, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.19, ret=  0.24, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 2.60, L= 10.82, L_straight= 10.06, slack=  0.76, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.00), Fy_cmd=-10.00, desired=  0.19, ret=  0.23, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 2.70, L= 10.85, L_straight= 10.07, slack=  0.78, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.19, ret=  0.23, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 2.80, L= 10.87, L_straight= 10.07, slack=  0.80, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.23, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 2.90, L= 10.89, L_straight= 10.08, slack=  0.81, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.22, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.00, L= 10.91, L_straight= 10.08, slack=  0.83, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.22, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.10, L= 10.94, L_straight= 10.09, slack=  0.85, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.22, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.20, L= 10.96, L_straight= 10.09, slack=  0.86, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.22, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.30, L= 10.98, L_straight= 10.10, slack=  0.88, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.40, L= 11.00, L_straight= 10.10, slack=  0.90, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.50, L= 11.02, L_straight= 10.11, slack=  0.91, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.60, L= 11.04, L_straight= 10.12, slack=  0.93, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.20, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.70, L= 11.07, L_straight= 10.12, slack=  0.94, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.80, L= 11.09, L_straight= 10.13, slack=  0.96, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 3.90, L= 11.11, L_straight= 10.13, slack=  0.97, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.00, L= 11.13, L_straight= 10.14, slack=  0.99, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.10, L= 11.15, L_straight= 10.15, slack=  1.00, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.20, L= 11.17, L_straight= 10.15, slack=  1.02, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
IC_L_7: t= 4.30, L= 11.19, L_straight= 10.16, slack=  1.03, T_bat= 0.50, T_rov= 0.50, F_drag_cable=( 0.00,  0.01), Fy_cmd=-10.00, desired=  0.21, ret=  0.21, exp=PILOT_DESC_MINPAY_ACC
