[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=4.00, T=21.79, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-23.58, ret= -0.49, exp=REG_T_ACC
AUTO_L_6: t=4.10, T=21.77, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.36, desired=-23.17, ret= -0.54, exp=REG_T_ACC
AUTO_L_6: t=4.20, T=21.75, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.84, ret= -0.59, exp=REG_T_ACC
AUTO_L_6: t=4.30, T=21.73, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.61, ret= -0.64, exp=REG_T_ACC
AUTO_L_6: t=4.40, T=21.70, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.45, ret= -0.69, exp=REG_T_ACC
AUTO_L_6: t=4.50, T=21.68, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.32, ret= -0.74, exp=REG_T_ACC
AUTO_L_6: t=4.60, T=21.65, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.37, desired=-22.22, ret= -0.79, exp=REG_T_ACC
AUTO_L_6: t=4.70, T=21.62, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-22.15, ret= -0.84, exp=REG_T_ACC
AUTO_L_6: t=4.80, T=21.59, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-22.09, ret= -0.89, exp=REG_T_ACC
AUTO_L_6: t=4.90, T=21.56, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-22.04, ret= -0.94, exp=REG_T_ACC
AUTO_L_6: t=5.00, T=21.52, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-22.00, ret= -0.99, exp=REG_T_ACC
AUTO_L_6: t=5.10, T=21.48, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.96, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.20, T=21.45, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.88, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.30, T=21.41, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.79, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.40, T=21.37, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.72, ret= -1.00, exp=REG_T_ACC
AUTO_L_6: t=5.50, T=21.33, Trupt=50.00, Tcible=5.00, est_dT_dL=   0.38, desired=-21.66, ret= -1.00, exp=REG_T_ACC
