[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 1.60, y_rov=-100.26, vy_rov=-0.25, L= 109.96, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.51, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-1.01, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 1.70, y_rov=-100.29, vy_rov=-0.25, L= 109.96, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.58, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.81, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 1.80, y_rov=-100.31, vy_rov=-0.25, L= 109.96, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.64, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.66, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 1.90, y_rov=-100.34, vy_rov=-0.25, L= 109.95, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.69, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.53, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 2.00, y_rov=-100.36, vy_rov=-0.25, L= 109.95, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.72, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.42, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 2.10, y_rov=-100.39, vy_rov=-0.26, L= 109.95, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.75, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.34, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 2.20, y_rov=-100.42, vy_rov=-0.26, L= 109.95, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.78, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.27, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 2.30, y_rov=-100.44, vy_rov=-0.26, L= 109.94, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.80, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.22, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 2.40, y_rov=-100.47, vy_rov=-0.26, L= 109.94, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.81, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.17, ret=-0.03, exp=REG_T_ACC
IC_L_6: t= 2.50, y_rov=-100.49, vy_rov=-0.26, L= 109.94, dl_dt_cmd=-0.03, prev_cmd=-0.03, T_bat= 2.83, Fy_tr=-0.01, F_app_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.14, ret=-0.04, exp=REG_T_ACC
