[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 3.50, L= 110.49, L_straight= 104.11, slack=  6.37, T_bat= 10.00, Fy=-0.01, desired=  0.20, ret=  0.19, exp=PILOT_DESC_ACC
IC_L_7: t= 3.60, L= 110.51, L_straight= 104.18, slack=  6.33, T_bat= 10.00, Fy=-0.01, desired=  0.20, ret=  0.19, exp=PILOT_DESC_ACC
IC_L_7: t= 3.70, L= 110.52, L_straight= 104.25, slack=  6.28, T_bat= 10.00, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 3.80, L= 110.54, L_straight= 104.32, slack=  6.23, T_bat= 10.00, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 3.90, L= 110.56, L_straight= 104.38, slack=  6.18, T_bat= 10.00, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.00, L= 110.58, L_straight= 104.45, slack=  6.13, T_bat= 10.01, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.10, L= 110.60, L_straight= 104.52, slack=  6.08, T_bat= 10.01, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.20, L= 110.62, L_straight= 104.59, slack=  6.04, T_bat= 10.01, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.30, L= 110.64, L_straight= 104.65, slack=  5.99, T_bat= 10.01, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.40, L= 110.66, L_straight= 104.72, slack=  5.94, T_bat= 10.01, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.50, L= 110.68, L_straight= 104.79, slack=  5.89, T_bat= 10.01, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.60, L= 110.70, L_straight= 104.86, slack=  5.84, T_bat= 10.02, Fy=-0.01, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.70, L= 110.72, L_straight= 104.93, slack=  5.80, T_bat= 10.02, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
IC_L_7: t= 4.80, L= 110.74, L_straight= 104.99, slack=  5.75, T_bat= 10.02, Fy=-0.00, desired=  0.20, ret=  0.20, exp=PILOT_DESC_ACC
