IC_L_7: t= 3.40, L= 11.57, L_straight= 11.57, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.50, L= 11.57, L_straight= 11.57, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.60, L= 11.57, L_straight= 11.57, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.70, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.02, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.80, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 3.90, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.00, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.10, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.20, L= 11.56, L_straight= 11.56, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.30, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.40, L= 11.56, L_straight= 11.56, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.50, L= 11.56, L_straight= 11.56, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.60, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.70, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.01, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.80, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 4.90, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.00, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.10, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.20, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.30, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.40, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.50, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.60, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.70, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.80, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 5.90, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.00, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.10, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.20, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.30, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.40, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.50, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.60, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.70, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.80, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 6.90, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.00, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.10, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.20, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.30, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.40, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.50, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.60, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.70, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.80, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 7.90, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.00, L= 11.55, L_straight= 11.55, slack= -0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
IC_L_7: t= 8.10, L= 11.55, L_straight= 11.55, slack=  0.00, T_bat= 10.02, Fy= 9.02, desired=  0.00, ret= -0.00, exp=PILOT_ASC_HOLD_ACC
