[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=0.10, T=0.81, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.00, desired= -0.20, ret= -0.02, exp=REG_SIGN_ACC
AUTO_L_6: t=0.20, T=1.07, Trupt=50.00, Tcible=25.00, est_dT_dL=-347.25, desired= -0.03, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.30, T=4.23, Trupt=50.00, Tcible=25.00, est_dT_dL=-928.00, desired= -0.01, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.40, T=8.85, Trupt=50.00, Tcible=25.00, est_dT_dL=-1369.15, desired= -0.01, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.50, T=13.18, Trupt=50.00, Tcible=25.00, est_dT_dL=-1583.60, desired= -0.00, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.60, T=16.45, Trupt=50.00, Tcible=25.00, est_dT_dL=-1635.53, desired= -0.00, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=0.70, T=18.64, Trupt=50.00, Tcible=25.00, est_dT_dL=-1598.42, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.80, T=19.99, Trupt=50.00, Tcible=25.00, est_dT_dL=-1522.92, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=0.90, T=20.80, Trupt=50.00, Tcible=25.00, est_dT_dL=-1437.24, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.00, T=21.26, Trupt=50.00, Tcible=25.00, est_dT_dL=-1354.65, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.10, T=21.53, Trupt=50.00, Tcible=25.00, est_dT_dL=-1254.40, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.20, T=21.68, Trupt=50.00, Tcible=25.00, est_dT_dL=-1327.15, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.30, T=21.76, Trupt=50.00, Tcible=25.00, est_dT_dL=-1226.45, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.40, T=21.81, Trupt=50.00, Tcible=25.00, est_dT_dL=-989.55, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.50, T=21.83, Trupt=50.00, Tcible=25.00, est_dT_dL=-722.95, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.60, T=21.85, Trupt=50.00, Tcible=25.00, est_dT_dL=-493.06, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.70, T=21.85, Trupt=50.00, Tcible=25.00, est_dT_dL=-320.90, desired= -0.00, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.80, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=-202.16, desired= -0.01, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=1.90, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=-124.07, desired= -0.01, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=2.00, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL= -74.11, desired= -0.02, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=2.10, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL= -42.69, desired= -0.04, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=2.20, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL= -23.27, desired= -0.07, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=2.30, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL= -11.62, desired= -0.14, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=2.40, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=  -5.03, desired= -0.31, ret= -0.06, exp=REG_T_ACC
AUTO_L_6: t=2.50, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=  -1.70, desired= -0.92, ret= -0.11, exp=REG_T_ACC
AUTO_L_6: t=2.60, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=  -0.35, desired= -4.47, ret= -0.16, exp=REG_T_ACC
AUTO_L_6: t=2.70, T=21.85, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.10, desired= 15.59, ret= -0.11, exp=REG_T_ACC
AUTO_L_6: t=2.80, T=21.85, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.26, desired=  5.98, ret= -0.06, exp=REG_T_ACC
AUTO_L_6: t=2.90, T=21.84, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.34, desired=  4.66, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=3.00, T=21.84, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  4.13, ret=  0.04, exp=REG_T_ACC
AUTO_L_6: t=3.10, T=21.84, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  3.80, ret=  0.09, exp=REG_T_ACC
AUTO_L_6: t=3.20, T=21.84, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.46, desired=  3.45, ret=  0.14, exp=REG_T_ACC
AUTO_L_6: t=3.30, T=21.85, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.55, desired=  2.86, ret=  0.19, exp=REG_T_ACC
AUTO_L_6: t=3.40, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=   2.72, desired=  0.58, ret=  0.23, exp=REG_T_ACC
AUTO_L_6: t=3.50, T=21.86, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.16, desired= 10.01, ret=  0.28, exp=REG_T_ACC
AUTO_L_6: t=3.60, T=21.87, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.27, desired=  5.78, ret=  0.33, exp=REG_T_ACC
AUTO_L_6: t=3.70, T=21.89, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.31, desired=  5.06, ret=  0.38, exp=REG_T_ACC
AUTO_L_6: t=3.80, T=21.90, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.33, desired=  4.65, ret=  0.43, exp=REG_T_ACC
AUTO_L_6: t=3.90, T=21.92, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.35, desired=  4.43, ret=  0.48, exp=REG_T_ACC
AUTO_L_6: t=4.00, T=21.93, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.36, desired=  4.29, ret=  0.53, exp=REG_T_ACC
AUTO_L_6: t=4.10, T=21.95, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.36, desired=  4.18, ret=  0.58, exp=REG_T_ACC
