[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
AUTO_L_6: t=0.10, T=0.81, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.00, desired= -0.20, ret= -0.02, exp=REG_SIGN_ACC
AUTO_L_6: t=4.20, T=21.98, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.37, desired=  4.10, ret=  0.63, exp=REG_T_ACC
AUTO_L_6: t=4.30, T=22.00, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.37, desired=  4.02, ret=  0.68, exp=REG_T_ACC
AUTO_L_6: t=4.40, T=22.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  3.96, ret=  0.73, exp=REG_T_ACC
AUTO_L_6: t=4.50, T=22.06, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  3.90, ret=  0.78, exp=REG_T_ACC
AUTO_L_6: t=4.60, T=22.09, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  3.84, ret=  0.83, exp=REG_T_ACC
AUTO_L_6: t=4.70, T=22.12, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  3.78, ret=  0.88, exp=REG_T_ACC
AUTO_L_6: t=4.80, T=22.15, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  3.72, ret=  0.93, exp=REG_T_ACC
AUTO_L_6: t=4.90, T=22.19, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.38, desired=  3.66, ret=  0.98, exp=REG_T_ACC
AUTO_L_6: t=5.00, T=22.23, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.39, desired=  3.59, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.10, T=22.27, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.39, desired=  3.53, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.20, T=22.31, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.39, desired=  3.46, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.30, T=22.35, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.39, desired=  3.39, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.40, T=22.39, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.39, desired=  3.32, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.50, T=22.43, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  3.26, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.60, T=22.47, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  3.19, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.70, T=22.51, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  3.13, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.80, T=22.55, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  3.07, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=5.90, T=22.59, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  3.01, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.00, T=22.63, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.95, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.10, T=22.67, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.89, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.20, T=22.71, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.84, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.30, T=22.75, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.79, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.40, T=22.79, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.73, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.50, T=22.83, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.68, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.60, T=22.87, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.40, desired=  2.63, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.70, T=22.91, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.58, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.80, T=22.95, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.52, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=6.90, T=22.99, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.47, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.00, T=23.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.42, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.10, T=23.08, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.37, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.20, T=23.12, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.31, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.30, T=23.16, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.26, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.40, T=23.20, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.21, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.50, T=23.24, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.16, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.60, T=23.28, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.10, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.70, T=23.32, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.05, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.80, T=23.36, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  2.00, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=7.90, T=23.40, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.95, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.00, T=23.44, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.90, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.10, T=23.49, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.84, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.20, T=23.53, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.79, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.30, T=23.57, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.74, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.40, T=23.61, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.69, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.50, T=23.65, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.64, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.60, T=23.69, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.59, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.70, T=23.73, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.53, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.80, T=23.78, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.48, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=8.90, T=23.82, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.43, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.00, T=23.86, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.38, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.10, T=23.90, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.33, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.20, T=23.94, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.28, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.30, T=23.98, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired=  1.23, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.40, T=24.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  1.17, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.50, T=24.07, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  1.12, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.60, T=24.11, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  1.07, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.70, T=24.15, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  1.02, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.80, T=24.19, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.97, ret=  1.00, exp=REG_T_ACC
AUTO_L_6: t=9.90, T=24.23, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.92, ret=  0.99, exp=REG_T_ACC
AUTO_L_6: t=10.00, T=24.28, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.87, ret=  0.98, exp=REG_T_ACC
AUTO_L_6: t=10.10, T=24.32, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.82, ret=  0.96, exp=REG_T_ACC
AUTO_L_6: t=10.20, T=24.36, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.77, ret=  0.94, exp=REG_T_ACC
AUTO_L_6: t=10.30, T=24.40, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.72, ret=  0.92, exp=REG_T_ACC
AUTO_L_6: t=10.40, T=24.44, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.67, ret=  0.89, exp=REG_T_ACC
AUTO_L_6: t=10.50, T=24.47, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.62, ret=  0.87, exp=REG_T_ACC
AUTO_L_6: t=10.60, T=24.51, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.58, ret=  0.84, exp=REG_T_ACC
AUTO_L_6: t=10.70, T=24.55, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.53, ret=  0.81, exp=REG_T_ACC
AUTO_L_6: t=10.80, T=24.58, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.42, desired=  0.49, ret=  0.78, exp=REG_T_ACC
AUTO_L_6: t=10.90, T=24.62, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.45, ret=  0.74, exp=REG_T_ACC
AUTO_L_6: t=11.00, T=24.65, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.41, ret=  0.71, exp=REG_T_ACC
AUTO_L_6: t=11.10, T=24.68, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.38, ret=  0.68, exp=REG_T_ACC
AUTO_L_6: t=11.20, T=24.71, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.34, ret=  0.64, exp=REG_T_ACC
AUTO_L_6: t=11.30, T=24.74, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.31, ret=  0.61, exp=REG_T_ACC
AUTO_L_6: t=11.40, T=24.76, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.28, ret=  0.58, exp=REG_T_ACC
AUTO_L_6: t=11.50, T=24.79, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.25, ret=  0.54, exp=REG_T_ACC
AUTO_L_6: t=11.60, T=24.81, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.22, ret=  0.51, exp=REG_T_ACC
AUTO_L_6: t=11.70, T=24.83, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.19, ret=  0.48, exp=REG_T_ACC
AUTO_L_6: t=11.80, T=24.85, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.17, ret=  0.45, exp=REG_T_ACC
AUTO_L_6: t=11.90, T=24.87, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.15, ret=  0.42, exp=REG_T_ACC
AUTO_L_6: t=12.00, T=24.89, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired=  0.12, ret=  0.39, exp=REG_T_ACC
AUTO_L_6: t=12.10, T=24.91, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.10, ret=  0.36, exp=REG_T_ACC
AUTO_L_6: t=12.20, T=24.93, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.09, ret=  0.33, exp=REG_T_ACC
AUTO_L_6: t=12.30, T=24.94, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.07, ret=  0.31, exp=REG_T_ACC
AUTO_L_6: t=12.40, T=24.95, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.05, ret=  0.28, exp=REG_T_ACC
AUTO_L_6: t=12.50, T=24.97, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.04, ret=  0.26, exp=REG_T_ACC
AUTO_L_6: t=12.60, T=24.98, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.03, ret=  0.23, exp=REG_T_ACC
AUTO_L_6: t=12.70, T=24.99, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.01, ret=  0.21, exp=REG_T_ACC
AUTO_L_6: t=12.80, T=25.00, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired=  0.00, ret=  0.19, exp=REG_T_ACC
AUTO_L_6: t=12.90, T=25.01, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.01, ret=  0.17, exp=REG_T_ACC
AUTO_L_6: t=13.00, T=25.01, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.01, ret=  0.15, exp=REG_T_ACC
AUTO_L_6: t=13.10, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.02, ret=  0.14, exp=REG_T_ACC
AUTO_L_6: t=13.20, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.03, ret=  0.12, exp=REG_T_ACC
AUTO_L_6: t=13.30, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.03, ret=  0.10, exp=REG_T_ACC
AUTO_L_6: t=13.40, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret=  0.09, exp=REG_T_ACC
AUTO_L_6: t=13.50, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret=  0.08, exp=REG_T_ACC
AUTO_L_6: t=13.60, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.05, ret=  0.06, exp=REG_T_ACC
AUTO_L_6: t=13.70, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.05, ret=  0.05, exp=REG_T_ACC
AUTO_L_6: t=13.80, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.05, ret=  0.04, exp=REG_T_ACC
AUTO_L_6: t=13.90, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.06, ret=  0.03, exp=REG_T_ACC
AUTO_L_6: t=14.00, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.06, ret=  0.02, exp=REG_T_ACC
AUTO_L_6: t=14.10, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.06, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=14.20, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.06, ret=  0.01, exp=REG_T_ACC
AUTO_L_6: t=14.30, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.06, ret=  0.00, exp=REG_T_ACC
AUTO_L_6: t=14.40, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.06, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=14.50, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.46, desired= -0.06, ret= -0.01, exp=REG_T_ACC
AUTO_L_6: t=14.60, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.46, desired= -0.06, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=14.70, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.47, desired= -0.06, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=14.80, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.49, desired= -0.05, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=14.90, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   1.32, desired= -0.02, ret= -0.02, exp=REG_T_ACC
AUTO_L_6: t=15.00, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.41, desired= -0.06, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=15.10, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired= -0.06, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=15.20, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.43, desired= -0.05, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=15.30, T=25.05, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.05, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=15.40, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.05, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=15.50, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.05, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=15.60, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.05, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=15.70, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=15.80, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=15.90, T=25.04, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.00, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.10, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.04, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.20, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.03, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.30, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.03, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.40, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.44, desired= -0.03, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.50, T=25.03, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.03, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.60, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.03, ret= -0.04, exp=REG_T_ACC
AUTO_L_6: t=16.70, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.03, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=16.80, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.02, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=16.90, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.02, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=17.00, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.02, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=17.10, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.02, ret= -0.03, exp=REG_T_ACC
AUTO_L_6: t=17.20, T=25.02, Trupt=50.00, Tcible=25.00, est_dT_dL=   0.45, desired= -0.02, ret= -0.03, exp=REG_T_ACC
