[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 2.10, y_rov=-101.20, vy_rov=-0.67, gy_rov=-0.00, L= 109.99, dl_dt_cmd= 0.01, prev_cmd= 0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-0.00, ret= 0.01, exp=REG_T_ACC
IC_L_6: t= 2.20, y_rov=-101.27, vy_rov=-0.67, gy_rov=-0.00, L= 109.99, dl_dt_cmd= 0.01, prev_cmd= 0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-0.00, ret= 0.00, exp=REG_T_ACC
IC_L_6: t= 2.30, y_rov=-101.33, vy_rov=-0.67, gy_rov=-0.00, L= 109.99, dl_dt_cmd= 0.00, prev_cmd= 0.00, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-0.00, ret=-0.01, exp=REG_T_ACC
IC_L_6: t= 2.40, y_rov=-101.40, vy_rov=-0.67, gy_rov=-0.00, L= 109.99, dl_dt_cmd=-0.01, prev_cmd=-0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total=-0.00, ret=-0.02, exp=REG_T_ACC
IC_L_6: t= 2.50, y_rov=-101.47, vy_rov=-0.67, gy_rov=-0.00, L= 109.98, dl_dt_cmd=-0.02, prev_cmd=-0.02, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.01, exp=REG_T_ACC
IC_L_6: t= 2.60, y_rov=-101.53, vy_rov=-0.67, gy_rov= 0.00, L= 109.99, dl_dt_cmd= 0.01, prev_cmd= 0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.01, exp=REG_T_ACC
IC_L_6: t= 2.70, y_rov=-101.60, vy_rov=-0.67, gy_rov= 0.00, L= 109.99, dl_dt_cmd= 0.01, prev_cmd= 0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.04, exp=REG_T_ACC
IC_L_6: t= 2.80, y_rov=-101.67, vy_rov=-0.67, gy_rov= 0.00, L= 109.98, dl_dt_cmd=-0.04, prev_cmd=-0.04, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.01, exp=REG_T_ACC
IC_L_6: t= 2.90, y_rov=-101.74, vy_rov=-0.67, gy_rov= 0.00, L= 109.98, dl_dt_cmd= 0.01, prev_cmd= 0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.06, exp=REG_T_ACC
IC_L_6: t= 3.00, y_rov=-101.80, vy_rov=-0.67, gy_rov= 0.00, L= 109.99, dl_dt_cmd= 0.06, prev_cmd= 0.06, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret= 0.01, exp=REG_T_ACC
IC_L_6: t= 3.10, y_rov=-101.87, vy_rov=-0.67, gy_rov= 0.00, L= 109.99, dl_dt_cmd= 0.01, prev_cmd= 0.01, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.04, exp=REG_T_ACC
IC_L_6: t= 3.20, y_rov=-101.94, vy_rov=-0.67, gy_rov= 0.00, L= 109.99, dl_dt_cmd=-0.04, prev_cmd=-0.04, T_bat= 21.87, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.09, exp=REG_T_ACC
IC_L_6: t= 3.30, y_rov=-102.01, vy_rov=-0.67, gy_rov= 0.00, L= 109.98, dl_dt_cmd=-0.09, prev_cmd=-0.09, T_bat= 21.86, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.14, exp=REG_T_ACC
IC_L_6: t= 3.40, y_rov=-102.07, vy_rov=-0.67, gy_rov= 0.00, L= 109.96, dl_dt_cmd=-0.14, prev_cmd=-0.14, T_bat= 21.86, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.19, exp=REG_T_ACC
IC_L_6: t= 3.50, y_rov=-102.14, vy_rov=-0.67, gy_rov= 0.00, L= 109.94, dl_dt_cmd=-0.19, prev_cmd=-0.19, T_bat= 21.85, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.24, exp=REG_T_ACC
IC_L_6: t= 3.60, y_rov=-102.21, vy_rov=-0.67, gy_rov= 0.00, L= 109.92, dl_dt_cmd=-0.24, prev_cmd=-0.24, T_bat= 21.84, Fy_tr=-0.01, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.29, exp=REG_T_ACC
IC_L_6: t= 3.70, y_rov=-102.28, vy_rov=-0.67, gy_rov= 0.00, L= 109.89, dl_dt_cmd=-0.29, prev_cmd=-0.29, T_bat= 21.83, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.34, exp=REG_T_ACC
IC_L_6: t= 3.80, y_rov=-102.34, vy_rov=-0.67, gy_rov= 0.00, L= 109.86, dl_dt_cmd=-0.34, prev_cmd=-0.34, T_bat= 21.82, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.39, exp=REG_T_ACC
IC_L_6: t= 3.90, y_rov=-102.41, vy_rov=-0.67, gy_rov= 0.00, L= 109.82, dl_dt_cmd=-0.39, prev_cmd=-0.39, T_bat= 21.81, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.44, exp=REG_T_ACC
IC_L_6: t= 4.00, y_rov=-102.48, vy_rov=-0.67, gy_rov= 0.00, L= 109.77, dl_dt_cmd=-0.44, prev_cmd=-0.44, T_bat= 21.79, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.49, exp=REG_T_ACC
IC_L_6: t= 4.10, y_rov=-102.54, vy_rov=-0.67, gy_rov= 0.00, L= 109.72, dl_dt_cmd=-0.49, prev_cmd=-0.49, T_bat= 21.77, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.54, exp=REG_T_ACC
IC_L_6: t= 4.20, y_rov=-102.61, vy_rov=-0.67, gy_rov= 0.00, L= 109.67, dl_dt_cmd=-0.54, prev_cmd=-0.54, T_bat= 21.75, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.59, exp=REG_T_ACC
IC_L_6: t= 4.30, y_rov=-102.68, vy_rov=-0.67, gy_rov= 0.00, L= 109.61, dl_dt_cmd=-0.59, prev_cmd=-0.59, T_bat= 21.73, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.64, exp=REG_T_ACC
IC_L_6: t= 4.40, y_rov=-102.75, vy_rov=-0.67, gy_rov= 0.00, L= 109.55, dl_dt_cmd=-0.64, prev_cmd=-0.64, T_bat= 21.70, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.69, exp=REG_T_ACC
IC_L_6: t= 4.50, y_rov=-102.81, vy_rov=-0.67, gy_rov= 0.00, L= 109.48, dl_dt_cmd=-0.69, prev_cmd=-0.69, T_bat= 21.68, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.74, exp=REG_T_ACC
IC_L_6: t= 4.60, y_rov=-102.88, vy_rov=-0.67, gy_rov= 0.00, L= 109.40, dl_dt_cmd=-0.74, prev_cmd=-0.74, T_bat= 21.65, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.79, exp=REG_T_ACC
IC_L_6: t= 4.70, y_rov=-102.95, vy_rov=-0.67, gy_rov= 0.00, L= 109.32, dl_dt_cmd=-0.79, prev_cmd=-0.79, T_bat= 21.62, Fy_tr=-0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.84, exp=REG_T_ACC
IC_L_6: t= 4.80, y_rov=-103.02, vy_rov=-0.67, gy_rov= 0.00, L= 109.24, dl_dt_cmd=-0.84, prev_cmd=-0.84, T_bat= 21.59, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.89, exp=REG_T_ACC
IC_L_6: t= 4.90, y_rov=-103.08, vy_rov=-0.67, gy_rov= 0.00, L= 109.15, dl_dt_cmd=-0.89, prev_cmd=-0.89, T_bat= 21.55, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.94, exp=REG_T_ACC
IC_L_6: t= 5.00, y_rov=-103.15, vy_rov=-0.67, gy_rov= 0.00, L= 109.06, dl_dt_cmd=-0.94, prev_cmd=-0.94, T_bat= 21.52, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-0.99, exp=REG_T_ACC
IC_L_6: t= 5.10, y_rov=-103.22, vy_rov=-0.67, gy_rov= 0.00, L= 108.96, dl_dt_cmd=-0.99, prev_cmd=-0.99, T_bat= 21.48, Fy_tr= 0.00, F_app_w=-8.83, F_buoy_net= 8.83, Fy_total= 0.00, ret=-1.00, exp=REG_T_ACC
