[SCEN] t=0.10 scen=Fx crit=(t>0:1) T_bat=0.403729584757652 p=-100.00 L=110.00
[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.403729584757652 p=-100.00 L=110.00
IC_L_7: t= 0.10, L= 110.00, L_straight= 101.98, slack=  8.02, T_bat= 0.40, Fy=-0.01, desired=  0.00, ret=  0.00, exp=CATENARY_HOLD_ACC
IC_L_7: t= 0.20, L= 110.00, L_straight= 101.99, slack=  8.01, T_bat= 0.50, Fy=-0.01, desired=  0.20, ret=  0.02, exp=PILOT_DESC_ACC
IC_L_7: t= 0.30, L= 110.00, L_straight= 102.02, slack=  7.98, T_bat= 1.93, Fy=-0.01, desired=  0.20, ret=  0.04, exp=PILOT_DESC_ACC
IC_L_7: t= 0.40, L= 110.01, L_straight= 102.07, slack=  7.94, T_bat= 4.03, Fy=-0.01, desired=  0.20, ret=  0.05, exp=PILOT_DESC_ACC
IC_L_7: t= 0.50, L= 110.01, L_straight= 102.12, slack=  7.89, T_bat= 6.00, Fy=-0.01, desired=  0.20, ret=  0.07, exp=PILOT_DESC_ACC
IC_L_7: t= 0.60, L= 110.02, L_straight= 102.18, slack=  7.84, T_bat= 7.49, Fy=-0.01, desired=  0.20, ret=  0.08, exp=PILOT_DESC_ACC
IC_L_7: t= 0.70, L= 110.03, L_straight= 102.24, slack=  7.79, T_bat= 8.49, Fy=-0.01, desired=  0.20, ret=  0.09, exp=PILOT_DESC_ACC
IC_L_7: t= 0.80, L= 110.04, L_straight= 102.30, slack=  7.73, T_bat= 9.10, Fy=-0.01, desired=  0.20, ret=  0.10, exp=PILOT_DESC_ACC
IC_L_7: t= 0.90, L= 110.05, L_straight= 102.37, slack=  7.68, T_bat= 9.47, Fy=-0.01, desired=  0.20, ret=  0.11, exp=PILOT_DESC_ACC
IC_L_7: t= 1.00, L= 110.06, L_straight= 102.43, slack=  7.63, T_bat= 9.68, Fy=-0.01, desired=  0.20, ret=  0.12, exp=PILOT_DESC_ACC
IC_L_7: t= 1.10, L= 110.07, L_straight= 102.50, slack=  7.57, T_bat= 9.80, Fy=-0.01, desired=  0.20, ret=  0.13, exp=PILOT_DESC_ACC
IC_L_7: t= 1.20, L= 110.08, L_straight= 102.56, slack=  7.52, T_bat= 9.87, Fy=-0.01, desired=  0.20, ret=  0.14, exp=PILOT_DESC_ACC
