[SCEN] t=0.10 scen=Fy crit=(t>0:-50) T_bat=0.8068861135073987 p=-100.00 L=110.00
IC_L_6: t= 2.70, y_rov=-100.54, vy_rov=-0.26, L= 109.93, dl_dt_cmd=-0.04, prev_cmd=-0.04, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.09ret=-0.05, exp=REG_T_ACC
IC_L_6: t= 2.80, y_rov=-100.57, vy_rov=-0.26, L= 109.92, dl_dt_cmd=-0.05, prev_cmd=-0.05, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.07ret=-0.06, exp=REG_T_ACC
IC_L_6: t= 2.90, y_rov=-100.60, vy_rov=-0.26, L= 109.92, dl_dt_cmd=-0.06, prev_cmd=-0.06, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.06ret=-0.08, exp=REG_T_ACC
IC_L_6: t= 3.00, y_rov=-100.62, vy_rov=-0.26, L= 109.91, dl_dt_cmd=-0.08, prev_cmd=-0.08, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.04ret=-0.11, exp=REG_T_ACC
IC_L_6: t= 3.10, y_rov=-100.65, vy_rov=-0.26, L= 109.90, dl_dt_cmd=-0.11, prev_cmd=-0.11, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.04ret=-0.15, exp=REG_T_ACC
IC_L_6: t= 3.20, y_rov=-100.68, vy_rov=-0.26, L= 109.88, dl_dt_cmd=-0.15, prev_cmd=-0.15, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.03ret=-0.20, exp=REG_T_ACC
IC_L_6: t= 3.30, y_rov=-100.70, vy_rov=-0.26, L= 109.86, dl_dt_cmd=-0.20, prev_cmd=-0.20, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.02ret=-0.25, exp=REG_T_ACC
IC_L_6: t= 3.40, y_rov=-100.73, vy_rov=-0.26, L= 109.84, dl_dt_cmd=-0.25, prev_cmd=-0.25, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.02ret=-0.30, exp=REG_T_ACC
IC_L_6: t= 3.50, y_rov=-100.75, vy_rov=-0.26, L= 109.81, dl_dt_cmd=-0.30, prev_cmd=-0.30, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.01ret=-0.35, exp=REG_T_ACC
IC_L_6: t= 3.60, y_rov=-100.78, vy_rov=-0.26, L= 109.77, dl_dt_cmd=-0.35, prev_cmd=-0.35, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.01ret=-0.40, exp=REG_T_ACC
IC_L_6: t= 3.70, y_rov=-100.81, vy_rov=-0.26, L= 109.73, dl_dt_cmd=-0.40, prev_cmd=-0.40, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.01ret=-0.45, exp=REG_T_ACC
IC_L_6: t= 3.80, y_rov=-100.83, vy_rov=-0.26, L= 109.69, dl_dt_cmd=-0.45, prev_cmd=-0.45, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.01ret=-0.50, exp=REG_T_ACC
IC_L_6: t= 3.90, y_rov=-100.86, vy_rov=-0.26, L= 109.64, dl_dt_cmd=-0.50, prev_cmd=-0.50, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.01ret=-0.55, exp=REG_T_ACC
IC_L_6: t= 4.00, y_rov=-100.88, vy_rov=-0.26, L= 109.59, dl_dt_cmd=-0.55, prev_cmd=-0.55, T_bat= 2.86, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.50, exp=REG_T_ACC
IC_L_6: t= 4.10, y_rov=-100.91, vy_rov=-0.26, L= 109.54, dl_dt_cmd=-0.50, prev_cmd=-0.50, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.45, exp=REG_T_ACC
IC_L_6: t= 4.20, y_rov=-100.94, vy_rov=-0.26, L= 109.49, dl_dt_cmd=-0.45, prev_cmd=-0.45, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.40, exp=REG_T_ACC
IC_L_6: t= 4.30, y_rov=-100.96, vy_rov=-0.26, L= 109.45, dl_dt_cmd=-0.40, prev_cmd=-0.40, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.35, exp=REG_T_ACC
IC_L_6: t= 4.40, y_rov=-100.99, vy_rov=-0.26, L= 109.42, dl_dt_cmd=-0.35, prev_cmd=-0.35, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.30, exp=REG_T_ACC
IC_L_6: t= 4.50, y_rov=-101.01, vy_rov=-0.26, L= 109.39, dl_dt_cmd=-0.30, prev_cmd=-0.30, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.25, exp=REG_T_ACC
IC_L_6: t= 4.60, y_rov=-101.04, vy_rov=-0.26, L= 109.36, dl_dt_cmd=-0.25, prev_cmd=-0.25, T_bat= 2.85, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.20, exp=REG_T_ACC
IC_L_6: t= 4.70, y_rov=-101.07, vy_rov=-0.26, L= 109.34, dl_dt_cmd=-0.20, prev_cmd=-0.20, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.15, exp=REG_T_ACC
IC_L_6: t= 4.80, y_rov=-101.09, vy_rov=-0.26, L= 109.33, dl_dt_cmd=-0.15, prev_cmd=-0.15, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total=-0.00ret=-0.10, exp=REG_T_ACC
IC_L_6: t= 4.90, y_rov=-101.12, vy_rov=-0.26, L= 109.32, dl_dt_cmd=-0.10, prev_cmd=-0.10, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret=-0.05, exp=REG_T_ACC
IC_L_6: t= 5.00, y_rov=-101.14, vy_rov=-0.26, L= 109.31, dl_dt_cmd=-0.05, prev_cmd=-0.05, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.00, exp=REG_T_ACC
IC_L_6: t= 5.10, y_rov=-101.17, vy_rov=-0.26, L= 109.31, dl_dt_cmd= 0.00, prev_cmd= 0.00, T_bat= 2.84, Fy_traction=-0.01, F_apparent_weight=-8.83, F_buoyancy_net= 8.83, Fy_total= 0.00ret= 0.05, exp=REG_T_ACC
